no,a2,a3,a4,a5,a6,a7,v1_1,v1_2,v1_3,v1_4,v1_5,v1_o,v2,v3,v4_1,v4_2,v4_3,v4_o,v5_1,v5_2,v5_3,v5_4,v5_5,v5_6,v5_o,v6_1,v6_2,v6_3,v6_4,v6_o,v7,v8_1,v8_2,v8_3,v8_4,v8_5,v8_o,v9_1,v9_2,v9_3,v9_o,v10_1,v10_2,v10_3,v10_4,v10_5,v10_o,v11,v12_1,v12_2,v12_3,v12_4,v12_o,v13_1,v13_2,v13_3,v13_4,v13_o,v14_1,v14_2,v14_3,v14_4,v14_5,v14_6,v14_o,v15_1,v15_2,v15_3,v15_4,v15_5,v15_6,v15_o
927,1,3,3,5,3,1,1,2,7, , , ,1,7,1,4,5, ,1,2,4, , , , ,1,2,3, , ,4,3,5, , , , ,1,2,4, ,1,2,4, , , ,7,1,2,3, , ,1,2,4, , ,1,2,4, , , , ,1,5,6, , , , 
1090,1,3,3,11,2,1,1,2,4, , , ,2, , , , , ,1,2,6, , , , ,1,3,4, , ,4,4, , , , , ,2,4,5, ,1,4,5, , , ,6,1,2,6, , ,1,2, , , ,1,2,5, , , , ,1,2,5, , , , 
1098,1,3,3,8,2,1,4,6,7, , , ,2, , , , , ,4,6, , , , , ,1,3, , , ,4,5,6, , , , ,4,5, , ,1,4,5, , , ,5,2,4,6, , ,1,4,5, , ,1,2,7, , , , ,1,2, , , , , 
8,1,2,1,11,3,2,3,4,7, , , ,1,8,5, , ,希望增加加班時間,1,2,3, , , , ,1,2, , , ,4,2,3, , , , ,4, , , ,1,2,3, , , ,3,1, , , , ,1,2,3, , ,1,5, , , , , ,2,3,5, , , , 
93,1,3,3,8,2,2,1,3,7, , , ,2, , , , , ,2,3,6, , , , ,1,2, , , ,2, , , , , , , , , , ,1,3,4, , , ,7,1,3, , , ,1,2,4, , ,1,3,5, , , , ,2,3,6, , , , 
113,1,3,3,5,3,2,3,7, , , , ,1,7,1, , , ,2,3,5, , , , ,1,2,3, , ,4,1,7, , , , ,1,4,5, ,1,2,4, , , ,9,3,4,6, , ,7, , , ,以上皆是,1,3,4, , , , ,1,2,3, , , , 
119,1,2,3,11,1,2,2,3,7, , , ,2, , , , , ,1,2,3, , , , ,1,3,4, , ,3, , , , , , , , , , ,1,5, , , , ,7,1, , , , ,1,3,5, , ,2,3,6, , , , ,1,2,3, , , , 
134,1,3,4,11,3,2,2,3,4, , , ,1,7,4,5, , ,1,2,6, , , , ,1,2, , , ,3, , , , , , , , , , ,1,4,5, , , ,7,2,3, , , ,1,5, , , ,1,2,3, , , , ,1,2,6, , , , 
234,1,3,3,2,3,2,1,2,5, , , ,2, , , , , ,1,4,5, , , , ,1,2,3, , ,4,1,3,5, , , ,1,2,3, ,1,2,4, , , ,5,1,2, , , ,1,2,4, , ,1,4,5, , , , ,2,3,6, , , , 
284,1,3,3,11,3,2,3,4,7, , , ,1,8,1, , , ,1,2, , , , , ,1,6, , , ,3, , , , , , , , , , ,1,3, , , , ,7,2,3, , , ,1,2,5, , ,1,2,7, , , , ,1,2,3, , , , 
322,1,2,3,8,1,2,9, , , , ,以上皆是,2, , , , , ,1,2,3, , , , ,1,2,5, , ,1, , , , , , , , , , ,1,2,5, , , ,5,3,4,5, , ,1,2,4, , ,1,2,3, , , , ,1,2,5, , , , 
345,1,3,3,11,3,2,1,2,7, , , ,1,7,1,2,4, ,1,2,3, , , , ,1,3, , , ,3, , , , , , , , , , ,1,2,5, , , ,5,1,2,3, , ,1,2,5, , ,1,3,7, , , , ,1,3,6, , , , 
360,1,3,3,11,3,2,2,3,7, , , ,1,6,1,4, , ,1,2,6, , , , ,1,4,6, , ,4,1,4, , , , ,4,7, ,運動,1,2,5, , , ,7,1,2,3, , ,3,5, , , ,1,2,6, , , , ,1,3,5, , , , 
362,1,3,2,11,3,2,1,3,7, , , ,1,7,2,3,4, ,6, , , , , , ,1,4,6, , ,4,1,4,5, , , ,5, , , ,1,5, , , , ,5,3,4, , , ,1,2,5, , ,1,3, , , , , ,1,2,3, , , , 
372,1,2,1,13,2,2,3,5,7, , , ,1,8,7, , ,以上皆非,3,4,6, , , , ,1, , , , ,4,1,2, , , , ,1, , , ,1,3,4, , , ,3,9, , , ,以上皆非,1,2,4, , ,1,2,7, , , , ,1,2,5, , , , 
385,1,2,3,13,1,2,1,2,7, , , ,2, , , , , ,1,4, , , , , ,1,6, , , ,4,1,4, , , , ,1,4, , ,1,5, , , , ,6,1,2, , , ,1,2,4, , ,1,4,6, , , , ,2,3, , , , , 
400,1,3,3,18,3,2,1, , , , , ,1,8,4, , , ,1,2,3, , , , ,1, , , , ,3, , , , , , , , , , ,1,3,4, , , ,7,1,2,3, , ,1, , , , ,2,3,6, , , , ,1,2,4, , , , 
408,1,3,3,5,3,2,2,4,7, , , ,1,5,4,5, , ,2,5,6, , , , ,1,4, , , ,3, , , , , , , , , , ,1,3,5, , , ,6,3,4, , , ,1,2,5, , ,3,6,7, , , , ,1,4,6, , , , 
413,1,2,1,5,3,2,1, , , , , ,1,8,1, , , ,4,5, , , , , ,1,4, , , ,3, , , , , , , , , , ,1,4, , , , ,3,1, , , , ,1,2,3, , ,2,3,5, , , , ,1,2, , , , , 
450,1,3,3,11,2,2,3,7, , , , ,1,8,7, , ,以上皆非,1,5,6, , , , ,1,2, , , ,3, , , , , , , , , , ,1,5, , , , ,5,2, , , , ,1,4, , , ,1,4,5, , , , ,1,3, , , , , 
465,1,2,3,7,1,2,1,2,4, , , ,2, , , , , ,2,4,6, , , , ,1, , , , ,3, , , , , , , , , , ,1,4,5, , , ,5,1,3,6, , ,1,2,4, , ,1,4,5, , , , ,1,2,6, , , , 
467,1,2,3,5,1,2,1,3,4, , , ,2, , , , , ,2,4,5, , , , ,1,4,5, , ,3, , , , , , , , , , ,1,2,5, , , ,7,1,3,4, , ,1,2,5, , ,1,2,5, , , , ,2,3,6, , , , 
495,1,3,3,9,3,2,3,4,7, , , ,1,8,7, , ,很滿意,2,4,6, , , , ,1,4, , , ,4,4,6, , , , ,1,4,5, ,1, , , , , ,7,6, , , , ,1,2,5, , ,1,3,4, , , , ,1,3,4, , , , 
521,1,2,3,11,1,2,1,3,7, , , ,1,7,1,4,5, ,1,2,4, , , , ,1,2,3, , ,4,4,6,7, , , ,1,3,4, ,1, , , , , ,6,3, , , , ,1,2,5, , ,1,2,4, , , , ,1,2,6, , , , 
45,1,2,3,5,2,3,1,2,7, , , ,2, , , , , ,1,2,3, , , , ,1,2,3, , ,4,5, , , , , ,4, , , ,1, , , , , ,6,3, , , , ,5, , , , ,10, , , , , ,會因為興趣找工作，所以上述條件不會考慮。,6, , , , , , 
534,1,3,3,2,3,3,3,4,6, , , ,1,7,1,4, , ,4,6, , , , , ,1,4, , , ,4,1,2,5, , , ,1,3,4, ,1,3, , , , ,6,1,3, , , ,1,2,4, , ,1,2,4, , , , ,1,2,6, , , , 
537,1,2,3,5,1,3,1, , , , , ,2, , , , , ,1,2,6, , , , ,1,3,4, , ,3, , , , , , , , , , ,1,3,5, , , ,8,1,2,5, , ,1,2,3, , ,1,2,4, , , , ,1,5,6, , , , 
628,1,2,3,8,1,3,1,3,4, , , ,2, , , , , ,1,2,4, , , , ,1,2,6, , ,1, , , , , , , , , , ,1,2,3, , , ,7,2,3,4, , ,1,2,5, , ,1,2,4, , , , ,1,3,5, , , , 
806,1,2,3,8,1,3,1,2,3, , , ,2, , , , , ,1,2,6, , , , ,1,3,4, , ,4,1,3,5, , , ,1,2,4, ,1,2,3, , , ,5,1,2,3, , ,1,2,4, , ,1,3,4, , , , ,2,3,4, , , , 
835,1,2,3,9,1,3,2,3,7, , , ,2, , , , , ,2,6, , , , , ,1,3, , , ,3, , , , , , , , , , ,1,2,3, , , ,8,3,6, , , ,1,2, , , ,1,2,5, , , , ,1,2,4, , , , 
852,1,2,3,13,3,3,1,2,4, , , ,1,5,1,5, , ,2,5, , , , , ,1,3, , , ,3, , , , , , , , , , ,1,3,5, , , ,7,2,4,5, , ,1,3, , , ,1,2,6, , , , ,1,4, , , , , 
882,1,2,3,16,2,3,2,4, , , , ,2, , , , , ,1,2,4, , , , ,1,2,3, , ,3, , , , , , , , , , ,1,4,5, , , ,8,1,2,4, , ,1,3,5, , ,1,2,4, , , , ,1,2,5, , , , 
924,1,2,3,8,3,3,3,4,7, , , ,1,6,1,2, , ,2,5,6, , , , ,1,2,3, , ,5,6, , , , , ,1, , , ,1,3, , , , ,5,1,3,5, , ,2, , , , ,3,4,5, , , , ,1,2,4, , , , 
960,1,3,3,11,3,3,2,4,5, , , ,1,9,1, , , ,1,5,6, , , , ,1,3, , , ,3, , , , , , , , , , ,1,4,5, , , ,9,3, , , , ,1,2, , , ,1,4,7, , , , ,1,3,5, , , , 
967,1,2,3,5,3,3,2,3,7, , , ,1,8,1, , , ,1,6, , , , , ,1,4, , , ,4,4, , , , , ,1,4,5, ,1, , , , , ,5,2,3, , , ,1,2, , , ,3,4, , , , , ,1,2,3, , , , 
114,1,3,3,11,3,4,5,7, , , , ,1,5,1,3, , ,1,4,5, , , , ,1,4, , , ,3, , , , , , , , , , ,1,2,5, , , ,6,1,3, , , ,1,2, , , ,1,2,4, , , , ,1,2,3, , , , 
130,1,3,4,4,3,4,6,7, , , , ,1,5,3,4, , ,3,4,6, , , , ,1,5,6, , ,4,3,4,7, , , ,1,5, , ,1,3,5, , , ,6,6, , , , ,2,3,5, , ,1,2,5, , , , ,1,2,4, , , , 
137,1,3,3,18,3,4,1,3, , , , ,1,6,1,4, , ,1,2,4, , , , ,1,2,4, , ,3, , , , , , , , , , ,1,3,4, , , ,5,2,6, , , ,1,3,5, , ,1,2,5, , , , ,1,2,5, , , , 
144,1,3,3,11,3,4,3,5,6, , , ,2, , , , , ,1,3,6, , , , ,1,2,3, , ,5,1,3,6, , , ,1,2,5, ,1,2,5, , , ,5,3,4,5, , ,1,2,3, , ,1,3,5, , , , ,2,3,4, , , , 
277,2,3,3,5,2,1,3,7, , , , ,1,8,1,4,5, ,6, , , , , , ,1, , , , ,3, , , , , , , , , , ,1,2,3, , , ,4,3, , , , ,1,2,3, , ,1,2,4, , , , ,1,2,3, , , , 
314,2,3,3,5,3,1,2,6, , , , ,1,7,1,2,3, ,1,4,6, , , , ,1,3,5, , ,3, , , , , , , , , , ,1,2,3, , , ,7,2,3,4, , ,1,2,3, , ,1,2,3, , , , ,1,2,3, , , , 
402,2,2,3,6,1,1,2,4,7, , , ,2, , , , , ,2,6, , , , , ,1,2,3, , ,3, , , , , , , , , , ,1,2,3, , , ,7,1, , , , ,1,2,3, , ,1,2,3, , , , ,1,2,3, , , , 
466,2,2,3,18,1,1,7, , , , , ,2, , , , , ,1,4,5, , , , ,1,2, , , ,3, , , , , , , , , , ,1, , , , , ,7,4, , , , ,2,5, , , ,2,4,5, , , , ,2,4,6, , , , 
539,2,3,3,5,3,1,2,3,4, , , ,1,6,1,4, , ,3,4,6, , , , ,1,3,5, , ,4,1, , , , , ,1,4, , ,1,2,3, , , ,5,2,3,4, , ,1,2,5, , ,2,3,4, , , , ,2,5, , , , , 
557,2,2,3,18,1,1,2,3,6, , , ,1,6,1,2, , ,1,6, , , , , ,1,5, , , ,3, , , , , , , , , , ,1,4,5, , , ,8,2,3, , , ,1,2, , , ,1,2, , , , , ,1,2,3, , , , 
601,2,2,3,18,2,1,1,4,7, , , ,2, , , , , ,1,2,4, , , , ,1,4, , , ,2, , , , , , , , , , ,1,2, , , , ,3,2,6, , , ,1,2, , , ,1,4,6, , , , ,1,4, , , , , 
661,2,2,3,5,2,1,1,2,3, , , ,1,8,1,5, , ,1,2,6, , , , ,1,3, , , ,3, , , , , , , , , , ,1,2,3, , , ,7,2,3,4, , ,1,2,3, , ,1,2,3, , , , ,1,2,3, , , , 
717,2,2,1,16,2,1,2, , , , , ,1,9,1, , , ,1,2, , , , , ,1, , , , ,4,1,2,6, , , ,1, , , ,1,2,3, , , ,4,2,3,4, , ,1,2,3, , ,2,3, , , , , ,2,4,6, , , , 
718,2,3,3,1,3,1,1,3,4, , , ,2, , , , , ,1,2,5, , , , ,1,2,3, , ,5,1,3,4, , , ,1,2,4, ,1,4,5, , , ,4,1,4,5, , ,1,2,3, , ,1,2,3, , , , ,1,2,3, , , , 
742,2,3,3,12,2,1,3,6,7, , , ,1,6,1,4,5, ,1,5,6, , , , ,1,4, , , ,4,1,5,7, , , ,1,2,5, ,1,4,5, , , ,6,1,2, , , ,1,4, , , ,1,3,6, , , , ,1,2,4, , , , 
747,2,2,3,18,1,1,3, , , , , ,2, , , , , ,1,4,6, , , , ,1,2,3, , ,3, , , , , , , , , , ,1,3,5, , , ,6,1, , , , ,5, , , , ,2,5,6, , , , ,3, , , , , , 
765,2,3,3,17,3,1,1,3,5, , , ,1,5,1, , , ,1,2,3, , , , ,1,2,3, , ,3, , , , , , , , , , ,1,2,3, , , ,6,1,2,3, , ,2, , , , ,5, , , , , , ,1,2,3, , , , 
776,2,3,3,5,2,1,2,3,7, , , ,1,7,1,2, , ,1,2,6, , , , ,1,3,5, , ,3, , , , , , , , , , ,1,3,4, , , ,7,1,2,4, , ,1,2,5, , ,1,2,3, , , , ,1,2,3, , , , 
824,2,2,3,2,2,1,4,6,7, , , ,1,4,1,4, , ,2,5, , , , , ,1,6, , , ,5,1,4,7, , , ,1,5, , ,1,4,5, , , ,6,3,5,6, , ,1,4, , , ,1,2,6, , , , ,1,2,6, , , , 
829,2,2,3,5,3,1,2, , , , , ,2, , , , , ,1,4,6, , , , ,1,4, , , ,4,3,5, , , , ,2,4, , ,1,4, , , , ,6,2, , , , ,5, , , , ,4,6, , , , , ,2,4,6, , , , 
839,2,3,3,16,3,1,7, , , , , ,2, , , , , ,1,2, , , , , ,1,2,4, , ,3, , , , , , , , , , ,1,2,3, , , ,6,5, , , , ,5, , , , ,1,2, , , , , ,1,3,4, , , , 
848,2,2,3,4,2,1,3,4,7, , , ,1,7,4,5, , ,1,6, , , , , ,1,4, , , ,4,4, , , , , ,5, , , ,1, , , , , ,5,4, , , , ,5, , , , ,1, , , , , , ,1, , , , , , 
870,2,3,3,5,3,1,2, , , , , ,2, , , , , ,1,4, , , , , ,1,2,3, , ,4,1,3,6, , , ,1,2,4, ,1,2,4, , , ,5,1,2,3, , ,1,2,4, , ,1,2,4, , , , ,1,5,6, , , , 
872,2,2,3,2,2,1,1,2, , , , ,2, , , , , ,1,3, , , , , ,1,2, , , ,3, , , , , , , , , , ,1,5, , , , ,5,1,4,6, , ,1,3, , , ,6, , , , , , ,1,2, , , , , 
879,2,3,3,16,3,1,3,7, , , , ,1,6,4,5, , ,1,2,4, , , , ,1,2,3, , ,2, , , , , , , , , , ,1,4, , , , ,7,7, , , ,沒意見,1,2,3, , ,1,2,3, , , , ,1,2,4, , , , 
883,2,2,3,18,1,1,1,2,6, , , ,2, , , , , ,2,4, , , , , ,1,6, , , ,4,5, , , , , ,1,4, , ,1, , , , , ,5,1, , , , ,2, , , , ,1,6, , , , , ,1,5, , , , , 
898,2,3,3,18,2,1,1,3, , , , ,1,6,1, , , ,2,4, , , , , ,1,2, , , ,3, , , , , , , , , , ,1, , , , , ,6,2,4, , , ,2, , , , ,2,3,6, , , , ,2,5, , , , , 
903,2,3,3,5,2,1,3,6, , , , ,1,8,1,3, , ,1, , , , , , ,1,5, , , ,3, , , , , , , , , , ,1,3, , , , ,7,1, , , , ,1,2,5, , ,1,4,6, , , , ,1,2,6, , , , 
910,2,3,3,16,3,1,4,5,7, , , ,2, , , , , ,2,3, , , , , ,1, , , , ,3, , , , , , , , , , ,1,2,3, , , ,5,2,5, , , ,1, , , , ,1,5, , , , , ,1, , , , , , 
952,2,2,3,18,1,1,1,2,3, , , ,1,8,1,2,5, ,1,2,4, , , , ,1,3, , , ,5,2,3,4, , , ,1,2,4, ,1,2,3, , , ,7,2,3,4, , ,1,2,4, , ,1,2,4, , , , ,1,2,3, , , , 
956,2,3,3,12,3,1,3,5,6, , , ,1,8,4, , , ,2,5, , , , , ,1, , , , ,3, , , , , , , , , , ,1,2, , , , ,6,3,6, , , ,1, , , , ,2,4,5, , , , ,2,4, , , , , 
965,2,3,3,1,3,1,2,3,4, , , ,2, , , , , ,2,4, , , , , ,1,3, , , ,3, , , , , , , , , , ,1,3, , , , ,6,1, , , , ,1,2,5, , ,1,2,6, , , , ,1,2,5, , , , 
982,2,3,3,6,3,1,3,5,7, , , ,1,10,2,5, , ,1,2,3, , , , ,1,2,3, , ,3, , , , , , , , , , ,1,4,5, , , ,6,2,3,6, , ,1,2,3, , ,1,2,3, , , , ,1,2,3, , , , 
993,2,2,3,18,1,1,1,2,3, , , ,1,7,1, , , ,1,2, , , , , ,1, , , , ,5,1,7, , , , ,1,2,4, ,1,2,3, , , ,9,3, , , , ,1,2, , , ,1,2,3, , , , ,1,2,3, , , , 
997,2,3,3,17,3,1,4, , , , , ,1,6,1,4,5, ,1,3,4, , , , ,1,4, , , ,5,1,7, , , , ,1,5, , ,1,2,3, , , ,5,2,3,4, , ,1,2,3, , ,1,2,6, , , , ,5,6, , , , , 
1009,2,2,3,3,1,1,1,2,7, , , ,1,7,1,2,3, ,1,4,6, , , , ,1,2,3, , ,3, , , , , , , , , , ,1,2,3, , , ,8,3, , , , ,1,2,4, , ,2,5,6, , , , ,1,2,5, , , , 
1018,2,1,1,14,1,1,1,5,7, , , ,2, , , , , ,1,4,6, , , , ,1,3,4, , ,4,4, , , , , ,1, , , ,1,3,5, , , ,4,2,3,4, , ,1,2,4, , ,1,2,4, , , , ,1,4,5, , , , 
1019,2,2,3,4,3,1,4,6,7, , , ,1,8,1,2,4, ,1,3,4, , , , ,1,2,3, , ,4,1,5,7, , , ,1,2,5, ,1,4,5, , , ,5,1,3,4, , ,2,3,5, , ,1,4,6, , , , ,2,3,4, , , , 
1044,2,2,3,14,1,1,1,7, , , , ,1,5,1,4,5, ,3,4, , , , , ,1,2,6, , ,4,1,2,3, , , ,1,2,4, ,1,2,3, , , ,5,4,5,6, , ,2,4,5, , ,1,6,7, , , , ,1,3,6, , , , 
1059,2,2,3,3,2,1,4,5,7, , , ,2, , , , , ,1,4,5, , , , ,1, , , , ,2, , , , , , , , , , ,1,3,4, , , ,7,3, , , , ,2, , , , ,1,2,6, , , , ,1,5, , , , , 
1076,2,2,3,1,1,1,1, , , , , ,1,8,4,5, , ,2,5, , , , , ,1,5, , , ,3, , , , , , , , , , ,1, , , , , ,10,4, , , , ,1,2, , , ,1, , , , , , ,1,3,4, , , , 
1095,2,2,3,8,1,1,4,6,7, , , ,1,9,2, , , ,1,4,6, , , , ,1, , , , ,4,1,2,4, , , ,1,4,5, ,1, , , , , ,4,2,3,6, , ,2,3,5, , ,2,5,6, , , , ,1,2,3, , , , 
1101,2,2,3,9,1,1,1,2,3, , , ,2, , , , , ,1,2, , , , , ,1,2,3, , ,3, , , , , , , , , , ,1,4, , , , ,4,4,6, , , ,1,2, , , ,1,2,5, , , , ,1,2,4, , , , 
14,2,2,3,17,3,2,1,7, , , , ,1,9,2, , , ,1,2, , , , , ,1,3, , , ,3, , , , , , , , , , ,1,3,5, , , ,6,2, , , , ,1,2, , , ,1,2,5, , , , ,1,2,4, , , , 
57,2,2,3,18,2,2,1,3,7, , , ,2, , , , , ,1,4, , , , , ,1, , , , ,3, , , , , , , , , , ,1,2, , , , ,7,3,4, , , ,1,4, , , ,1,5, , , , , ,1,2, , , , , 
70,2,2,3,9,1,2,2,3,7, , , ,2, , , , , ,1,2,4, , , , ,1,2,3, , ,3, , , , , , , , , , ,1,3,4, , , ,7,3,4,6, , ,1,2,4, , ,1,3,4, , , , ,1,2,6, , , , 
100,2,2,3,18,2,2,2,4, , , , ,1,9,3,4,5, ,1,2, , , , , ,1,6, , , ,3, , , , , , , , , , ,1,3, , , , ,7,3,4,6, , ,1,2,5, , ,1,2,6, , , , ,8, , , , , ,以上皆是
104,2,2,3,4,2,2,1,4, , , , ,1,6,1,2,3, ,1,4, , , , , ,1,2,3, , ,4,10, , , , ,不確定目前工作可作多久,6, , ,以上皆是,1,2,4, , , ,7,4,5, , , ,1,2,3, , ,1,4,5, , , , ,1,3,4, , , , 
194,2,2,3,8,1,2,1,3,6, , , ,2, , , , , ,1,4, , , , , ,1, , , , ,4,1,2,4, , , ,1,2, , ,1,5, , , , ,5,1,5, , , ,1,2, , , ,1,2,3, , , , ,1,2,5, , , , 
198,2,2,3,16,1,2,1,7, , , , ,2, , , , , ,2, , , , , , ,1, , , , ,2, , , , , , , , , , ,1,5, , , , ,5,1, , , , ,1,2, , , ,1,2, , , , , ,2,3, , , , , 
202,2,2,3,5,2,2,7, , , , , ,2, , , , , ,4,6, , , , , ,1,6, , , ,4,1,3,4, , , ,1,4, , ,1,2,5, , , ,6,1,6, , , ,2, , , , ,2,4,5, , , , ,1,4,5, , , , 
240,2,2,3,2,2,2,3, , , , , ,2, , , , , ,8, , , , , , ,1,2, , , ,5,1, , , , , ,1, , , ,1,5, , , , ,5,1, , , , ,2, , , , ,5, , , , , , ,2,3, , , , , 
247,2,3,3,14,2,2,1,3,7, , , ,1,7,4, , , ,1,2,4, , , , ,1, , , , ,3, , , , , , , , , , ,1,5, , , , ,5,3,4,6, , ,1,2, , , ,2, , , , , , ,1, , , , , , 
285,2,2,3,8,1,2,1,2,7, , , ,1,5,4,5, , ,1,2,6, , , , ,1,2,3, , ,3, , , , , , , , , , ,1,2,3, , , ,6,3,4,6, , ,1,2,3, , ,1,2,3, , , , ,3,4,5, , , , 
